Subject: 1

Identifier,Obstacle_Angle,Obstalce_Distance,Goal_Angle,Goal_Distance,Obstacle_Variety

Data,-1,4,-0,7,1

Data,4,4,0,7,1

Data,2,6,0,7,0

Data,8,6,0,7,0

Data,-2,6,-0,7,1

Data,-4,4,-0,7,1

Data,4,6,0,7,1

Data,2,6,0,7,1

Data,8,4,0,7,1

Data,-8,4,-0,7,0

Data,8,4,0,7,0

Data,-1,6,-0,7,1

Data,-4,4,-0,7,0

Data,1,4,0,7,1

Data,-8,6,-0,7,0

Data,4,6,0,7,1

Data,-2,4,-0,7,0

Data,-4,6,-0,7,1

Data,1,4,0,7,1

Data,-8,4,-0,7,1

Data,2,4,0,7,0

Data,2,4,0,7,1

Data,-8,6,-0,7,1

Data,-4,6,-0,7,0

Data,2,4,0,7,0

Data,4,6,0,7,0

Data,8,4,0,7,1

Data,8,6,0,7,0

Data,2,6,0,7,1

Data,8,6,0,7,1

Data,4,4,0,7,0

Data,8,4,0,7,0

Data,4,6,0,7,0

Data,1,4,0,7,0

Data,-2,6,-0,7,1

Data,4,4,0,7,1

Data,-1,6,-0,7,0

Data,1,6,0,7,1

Data,-2,4,-0,7,0

Data,-4,6,-0,7,1

Data,-2,4,-0,7,1

Data,-4,6,-0,7,0

Data,-1,6,-0,7,0

Data,1,6,0,7,0

Data,-2,6,-0,7,0

Data,1,4,0,7,0

Data,4,4,0,7,0

Data,2,4,0,7,1

Data,-1,4,-0,7,0

Data,-8,4,-0,7,1

Data,2,6,0,7,0

Data,1,6,0,7,0

Data,-1,4,-0,7,1

Data,-8,6,-0,7,1

Data,1,6,0,7,1

Data,-8,4,-0,7,0

Data,-4,4,-0,7,1

Data,-4,4,-0,7,0

Data,-2,6,-0,7,0

Data,-8,6,-0,7,0

Data,-2,4,-0,7,1

Data,8,6,0,7,1

Data,-1,6,-0,7,1

Data,-1,4,-0,7,0

